Elapsed time','ECG I','ECG I filtered'
0,-0.085,-0.115
0.001,-0.08,-0.115
0.002,-0.07,-0.12
0.003,-0.075,-0.12
0.004,-0.095,-0.12
0.005,-0.09,-0.12
0.006,-0.1,-0.12
0.007,-0.1,-0.115
0.008,-0.1,-0.115
0.009,-0.085,-0.115
0.01,-0.06,-0.11
0.011,-0.045,-0.11
0.012,-0.055,-0.11
0.013,-0.06,-0.11
0.014,-0.07,-0.105
0.015,-0.08,-0.105
0.016,-0.085,-0.105
0.017,-0.08,-0.105
0.018,-0.07,-0.1
0.019,-0.04,-0.1
0.02,-0.05,-0.1
0.021,-0.045,-0.1
0.022,-0.04,-0.1
0.023,-0.04,-0.1
0.024,-0.055,-0.1
0.025,-0.06,-0.1
0.026,-0.055,-0.1
0.027,-0.055,-0.095
0.028,-0.055,-0.095
0.029,-0.045,-0.095
0.03,-0.04,-0.095
0.031,-0.045,-0.09
0.032,-0.04,-0.09
0.033,-0.03,-0.09
0.034,-0.035,-0.09
0.035,-0.045,-0.085
0.036,-0.055,-0.085
0.037,-0.055,-0.085
0.038,-0.05,-0.085
0.039,-0.02,-0.085
0.04,-0.015,-0.08
0.041,-0.01,-0.08
0.042,0.005,-0.075
0.043,0,-0.07
0.044,-0.005,-0.07
0.045,-0.025,-0.065
0.046,-0.035,-0.065
0.047,-0.03,-0.06
0.048,-0.03,-0.06
0.049,-0.015,-0.06
0.05,-0.005,-0.06
0.051,0,-0.065
0.052,0.01,-0.065
0.053,0.02,-0.06
0.054,0,-0.06
0.055,-0.005,-0.055
0.056,0.005,-0.05
0.057,0.005,-0.05
0.058,0.01,-0.045
0.059,0.025,-0.04
0.06,0.04,-0.035
0.061,0.055,-0.03
0.062,0.06,-0.025
0.063,0.045,-0.02
0.064,0.04,-0.01
0.065,0.045,-0.005
0.066,0.04,0.005
0.067,0.04,0.01
0.068,0.07,0.02
0.069,0.075,0.025
0.07,0.09,0.025
0.071,0.105,0.03
0.072,0.105,0.03
0.073,0.115,0.03
0.074,0.105,0.035
0.075,0.1,0.035
0.076,0.1,0.04
0.077,0.095,0.045
0.078,0.125,0.055
0.079,0.155,0.065
0.08,0.16,0.075
0.081,0.16,0.085
0.082,0.175,0.095
0.083,0.175,0.1
0.084,0.155,0.105
0.085,0.16,0.11
0.086,0.15,0.115
0.087,0.15,0.12
0.088,0.16,0.125
0.089,0.18,0.125
0.09,0.19,0.125
0.091,0.19,0.125
0.092,0.2,0.125
0.093,0.19,0.12
0.094,0.18,0.12
0.095,0.175,0.115
0.096,0.165,0.11
0.097,0.16,0.105
0.098,0.165,0.105
0.099,0.155,0.1
0.1,0.165,0.1
0.101,0.165,0.1
0.102,0.17,0.1
0.103,0.145,0.095
0.104,0.135,0.09
0.105,0.11,0.085
0.106,0.09,0.075
0.107,0.07,0.065
0.108,0.075,0.05
0.109,0.085,0.04
0.11,0.085,0.025
0.111,0.07,0.015
0.112,0.07,0.01
0.113,0.05,0
0.114,0.04,-0.005
0.115,0.025,-0.01
0.116,0.005,-0.015
0.117,-0.005,-0.02
0.118,0,-0.025
0.119,0,-0.035
0.12,0.005,-0.045
0.121,0.01,-0.055
0.122,0,-0.06
0.123,0.01,-0.065
0.124,0.015,-0.065
0.125,0.03,-0.06
0.126,0.035,-0.05
0.127,0.045,-0.035
0.128,0.065,-0.015
0.129,0.085,0
0.13,0.09,0.015
0.131,0.12,0.025
0.132,0.115,0.03
0.133,0.09,0.035
0.134,0.085,0.035
0.135,0.07,0.03
0.136,0.08,0.025
0.137,0.08,0.025
0.138,0.09,0.025
0.139,0.095,0.025
0.14,0.11,0.03
0.141,0.115,0.03
0.142,0.13,0.035
0.143,0.115,0.04
0.144,0.1,0.045
0.145,0.095,0.05
0.146,0.095,0.05
0.147,0.095,0.05
0.148,0.1,0.05
0.149,0.11,0.055
0.15,0.12,0.055
0.151,0.125,0.06
0.152,0.14,0.06
0.153,0.135,0.065
0.154,0.115,0.065
0.155,0.115,0.07
0.156,0.115,0.07
0.157,0.115,0.07
0.158,0.125,0.07
0.159,0.13,0.07
0.16,0.125,0.065
0.161,0.14,0.065
0.162,0.14,0.065
0.163,0.14,0.06
0.164,0.13,0.06
0.165,0.105,0.06
0.166,0.1,0.065
0.167,0.1,0.065
0.168,0.13,0.07
0.169,0.14,0.07
0.17,0.135,0.07
0.171,0.15,0.075
0.172,0.145,0.075
0.173,0.13,0.075
0.174,0.125,0.075
0.175,0.125,0.07
0.176,0.115,0.07
0.177,0.12,0.07
0.178,0.125,0.07
0.179,0.14,0.065
0.18,0.14,0.065
0.181,0.15,0.065
0.182,0.145,0.065
0.183,0.14,0.065
0.184,0.135,0.065
0.185,0.14,0.06
0.186,0.125,0.06
0.187,0.125,0.06
0.188,0.135,0.065
0.189,0.145,0.065
0.19,0.145,0.065
0.191,0.14,0.07
0.192,0.135,0.07
0.193,0.12,0.075
0.194,0.12,0.075
0.195,0.11,0.075
0.196,0.115,0.075
0.197,0.12,0.07
0.198,0.135,0.07
0.199,0.135,0.065
0.2,0.13,0.065
0.201,0.135,0.06
0.202,0.13,0.055
0.203,0.11,0.055
0.204,0.11,0.055
0.205,0.11,0.05
0.206,0.105,0.05
0.207,0.115,0.05
